id	name	cat	url	path	dir	cat_url	ord	code1	dlina	code2	code3	prim	prim2	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	img_path	img1	img2	img3	img4	img5	desc	Comment	par1	text1	par2	text2	par3	text3	par4	text4	par5	text5	par6	text6	par7	text7	par8	text8	par9	text9	par10	text10	par11	text11	par12	text12	par13	text13	par14	text14	par15	text15	w	h	l	m
33	Вал карданный 	БЕЛАЗ	kardan_540a-2208013	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		540А-2208013			#N/A			31 000	завод 'Иннова' Н.Челны							/kardanyi_valy/img/kamkardan/	noimage.gif																																					0.245	0.245		
35	Вал карданный 	БЕЛАЗ	kardan_548a-2201010-03	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		548A-2201010-03	1322		#N/A			28 000	завод 'Иннова' Н.Челны					22 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	13000	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	105 х 6	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	18	Угол поворота в шарнире 2, °	18	Масса, кг	65	Длина в полностью сжатом положении, мм	1322	Рабочий ход в шлицевой паре, мм	47	Фланец	8*14*205*230	Крестовина	7555-2201025									0.25	0.25	1,33	65
37	Вал карданный 	БЕЛАЗ	kardan_548a-2201010-04	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		548A-2201010-04	1322		#N/A			27 000	завод 'Иннова' Н.Челны					22 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	13000	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	105 х 6	Диаметр окружности описанной элементами шарнира, мм	225	Угол поворота в шарнире 1, °	18	Угол поворота в шарнире 2, °	18	Масса, кг	65	Длина в полностью сжатом положении, мм	1322	Рабочий ход в шлицевой паре, мм	47	Фланец	8*14*205*230	Крестовина	7522-2201025									0.25	0.25	1,33	65
39	Вал карданный 	БЕЛАЗ	kardan_548c-2201010-03	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		548C-2201010-03	1322		#N/A			22 000	завод 'Иннова' Н.Челны							/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	13000	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	105 х 6	Диаметр окружности описанной элементами шарнира, мм	225	Угол поворота в шарнире 1, °	18	Угол поворота в шарнире 2, °	18	Масса, кг	65	Длина в полностью сжатом положении, мм	1322	Рабочий ход в шлицевой паре, мм	47	Фланец	8*14*205*230	Крестовина	7522-2201025									0.25	0.25	1,33	65
41	Вал карданный 	БЕЛАЗ	kardan_548a-2208013	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		548А-2208013			#N/A			17 000	завод 'Иннова' Н.Челны							/kardanyi_valy/img/kamkardan/	noimage.gif																																					0.245	0.245		
43	Вал карданный 	БЕЛАЗ	kardan_548a-2208014-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		548A-2208014-01	486		#N/A			5 000	завод 'Иннова' Н.Челны					4 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Масса, кг	19	Длина в полностью сжатом положении, мм	486	Рабочий ход в шлицевой паре, мм	0	Фланец	12*12.4*185*205	Крестовина	4310-2205025	Вилка скользящая	548А-2208020-10																			0.245	0.245	0,49	19
45	Вал карданный 	БЕЛАЗ	kardan_549-4250010-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549-4250010-01	543		#N/A			15 100	завод 'Иннова' Н.Челны					8 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	15000	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	17	Угол поворота в шарнире 2, °	17	Масса, кг	39.2	Длина в полностью сжатом положении, мм	543	Рабочий ход в шлицевой паре, мм	26	Фланец	540-2208049-11	Крестовина	53205-2205025-01											0.25	0.25	0,55	39.2
47	Вал карданный 	БЕЛАЗ	kardan_549-4250010-02	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549-4250010-02	543		549-4250010-02 вал карданный	вал КОМа самосвалов БелАЗ-7424, -7512, -75128, -7519, БелАЗ-7509, -750906, -750907, -7549, -754906, -754907, БелАЗ-75303, БелАЗ-7920, -79201		15 100	завод 'Иннова' Н.Челны					8 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	15000	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	17	Угол поворота в шарнире 2, °	17	Масса, кг	39.5	Длина в полностью сжатом положении, мм	543	Рабочий ход в шлицевой паре, мм	26	Фланец	540-2208049-11	Крестовина	53205-2205025-01											0.25	0.25	0,55	39.5
49	Вал карданный 	БЕЛАЗ	kardan_549b-2119010-02	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549Б-2119010-02	1031		549Б-2119010-02 вал карданный	вал привода генератора возбудителя а/м БелАЗ-549, -549А, -7420-9590, -7509, -750906, -750907, -7549, -754906, -754907, -750916, -750917, -7549, также в Ж/Д технике (в тепловозах ТЭМ-18ДМ),		6 500	завод 'Иннова' Н.Челны					6 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	2850	Макс. крутящий момент без разрушения, Н•м	3900	Внутренний диаметр и толщина стенки трубы, мм	71 х 2.1	Диаметр окружности описанной элементами шарнира, мм	124	Угол поворота в шарнире 1, °	20	Угол поворота в шарнире 2, °	20	Масса, кг	15	Длина в полностью сжатом положении, мм	1031	Рабочий ход в шлицевой паре, мм	87	Фланец	4*12.1*96	Крестовина	53А-2201025									0.15	0.15	1,04	15
51	Вал карданный 	БЕЛАЗ	kardan_549b-2119010-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549Б-2119010-01	1031		#N/A			6 900	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	2850	Макс. крутящий момент без разрушения, Н•м	3920	Внутренний диаметр и толщина стенки трубы, мм	71x2.1	Диаметр окружности описанной элементами шарнира, мм	124	Угол поворота в шарнире 1, °	20	Угол поворота в шарнире 2, °	20	Масса, кг	15	Длина в полностью сжатом положении, мм	1031	Рабочий ход в шлицевой паре, мм	87	Фланец	75491-2119023	Крестовина	53А-2201025-10									0.15	0.15	1,04	15
53	Вал карданный 	БЕЛАЗ	kardan_549v-4250010-03	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549В-4250010-03	452		549В-4250010-03 вал карданный			13 000	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	15000	Диаметр окружности описанной элементами шарнира, мм	20	Угол поворота в шарнире 1, °	17	Угол поворота в шарнире 2, °	17	Масса, кг	36	Длина в полностью сжатом положении, мм	452	Рабочий ход в шлицевой паре, мм	44	Фланец	12*12.4*185*205	Крестовина	4310-2205025	Опора	540-2208049-11									0.3	0.3	0,46	36
55	Вал карданный 	БЕЛАЗ	kardan_549b-4250010-10	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549B-4250010-10	452		#N/A			12 990	завод 'Иннова' Н.Челны					8 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	15000	Угол поворота в шарнире 1, °	17	Угол поворота в шарнире 2, °	17	Масса, кг	35	Длина в полностью сжатом положении, мм	452	Рабочий ход в шлицевой паре, мм	26	Фланец	12*12.4*185*205	Крестовина	4310-2205025													0.245	0.245	0,46	35
57	Вал карданный 	БЕЛАЗ	kardan_549b-4250010-02	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549B-4250010-02	461		#N/A			12 800	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	15000	Диаметр окружности описанной элементами шарнира, мм	20	Угол поворота в шарнире 1, °	17	Угол поворота в шарнире 2, °	17	Масса, кг	36	Длина в полностью сжатом положении, мм	461	Рабочий ход в шлицевой паре, мм	44	Фланец	12*12.4*185*205	Крестовина	4310-2205025											0.3	0.3	0,47	36
59	Вал карданный 	БЕЛАЗ	kardan_549v-4250010-10	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549В-4250010-10	452		#N/A			12 990	завод 'Иннова' Н.Челны					8 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	15000	Угол поворота в шарнире 1, °	17	Угол поворота в шарнире 2, °	17	Масса, кг	35.8	Длина в полностью сжатом положении, мм	452	Рабочий ход в шлицевой паре, мм	26	Крестовина	53205-2205025	Опора	540-2208049-11													0.245	0.245	0,46	35.8
61	Вал карданный 	БЕЛАЗ	kardan_549v-4250010-04	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		549В-4250010-04	461		549В-4250010-04 вал карданный	вал привода ГМП (гидромеханической передачи) автомобилей БелАЗ-548С, -548Т, -74231, -75483, -754836, -754837, -7548А, -7548А1, -7548А6, -7548А7, -7548Н, -7548Р, -7548Р1, -7548Р6, -7548Р7, -7548С, -7548Т, -7548Т1, -7548Т6, -7548Т7 (42-тн самосвалы), БелАЗ-7547, -754701, -754707, -75471(7), -754711, -75473 (ДВС Cummins KTA-19C), -754736, -754737, -75479, -754797, (45-тн самосвалы), также привода КОМ (коробки отбора мощности) автомобилей БелАЗ-74242 (ДВС Cummins КТА-38С), -7512А, -75121, -75121И, -75122, -75125, -751251, -75125-20, -75129 (120-тн самосвалы с электро-механической трансмиссией), БелАЗ-750916, -750917 (75-тн самосвалы с электро-механической трансмиссией).		14 800	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	15000	Диаметр окружности описанной элементами шарнира, мм	20	Угол поворота в шарнире 1, °	17	Угол поворота в шарнире 2, °	17	Масса, кг	36	Длина в полностью сжатом положении, мм	461	Рабочий ход в шлицевой паре, мм	44	Фланец	12*12.4*185*205	Крестовина	4310-2205025	Опора	540-2208049-11									0.3	0.3	0,47	36
63	Вал карданный 	БЕЛАЗ	kardan_6411-2202010-02	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		6411-2202010-02	1286		6411-2202010-02 вал карданный			14 500	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	12500	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	94x4	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	44.2	Длина в полностью сжатом положении, мм	1286	Рабочий ход в шлицевой паре, мм	44	Фланец	540-2208049-11	Крестовина	53205-2205025-01									0.25	0.25	1,29	44.2
65	Вал карданный промежуточный	БЕЛАЗ	kardan_6411-2208010-02	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		6411-2208010-02	1373		6411-2208010-02 Вал карданный промежуточный	БелАЗ, БелАЗ-6411, БелАЗ-74211, БелАЗ-7920		15 000	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	12500	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	94x4	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	45.1	Длина в полностью сжатом положении, мм	1373	Рабочий ход в шлицевой паре, мм	44	Фланец	540-2208049-11	Крестовина	53205-2205025-01									0.25	0.25	1,38	45.1
67	Вал карданный промежуточный	БЕЛАЗ	kardan_74211-2208010-02	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		74211-2208010-02	1154		74211-2208010-02 Вал карданный промежуточный	БелАЗ, БелАЗ-74211, БелАЗ-7924		12 000	завод 'Иннова' Н.Челны					8 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	12500	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	94x4	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	42.9	Длина в полностью сжатом положении, мм	1154	Рабочий ход в шлицевой паре, мм	44	Крестовина	53205-2205025	Опора	540-2208049-11											0.245	0.245	1,16	42.9
69	Вал карданный 	БЕЛАЗ	kardan_74211-2208010-03	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		74211-2208010-03	1154		74211-2208010-03 вал карданный			13 500	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	12500	Макс. крутящий момент без разрушения, Н•м	18000	Внутренний диаметр и толщина стенки трубы, мм	94 х 4	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	43	Длина в полностью сжатом положении, мм	1154	Рабочий ход в шлицевой паре, мм	44	Фланец	12*12.4*185*205	Крестовина	4310-2205025									0.25	0.25	1,16	43
71	Вал карданный 	БЕЛАЗ	kardan_6411-2202010-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		6411-2202010-01	1286		#N/A			14 500	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	12500	Внутренний диаметр и толщина стенки трубы, мм	82x3.5	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	42.8	Длина в полностью сжатом положении, мм	1286	Рабочий ход в шлицевой паре, мм	44	Фланец	540-2208049-11	Крестовина	53205-2205025-01									0.25	0.25	1,29	42.8
73	Вал карданный 	БЕЛАЗ	kardan_7509-4250010-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		7509-4250010-01	696		#N/A			12 500	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	12500	Внутренний диаметр и толщина стенки трубы, мм	82х3.5	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	38.5	Длина в полностью сжатом положении, мм	696	Рабочий ход в шлицевой паре, мм	44	Фланец	540-2208049-11	Крестовина	53205-2205025-01									0.25	0.25	0,7	38.5
75	Вал карданный 	БЕЛАЗ	kardan_6411-2208010-01	/kardanyi_valy/catalog/belaz/	/kardanyi_valy/catalog/belaz/	belaz		6411-2208010-01	1373		6411-2208010-01 вал карданный			14 900	завод 'Иннова' Н.Челны					7 000	восстановленный	/kardanyi_valy/img/kamkardan/	noimage.gif							Макс. крутящий момент без деформации, Н•м	8300	Макс. крутящий момент без разрушения, Н•м	12500	Внутренний диаметр и толщина стенки трубы, мм	82x3.5	Диаметр окружности описанной элементами шарнира, мм	220	Угол поворота в шарнире 1, °	23	Угол поворота в шарнире 2, °	23	Масса, кг	43.36	Длина в полностью сжатом положении, мм	1373	Рабочий ход в шлицевой паре, мм	44	Фланец	540-2208049-11	Крестовина	53205-2205025-01									0.25	0.25	1,38	43.36
